start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label
1989,1998,10,10,18-29,-0.42909543505489994,0.6510977886626815,0.6178568181381897,0.686127138127038,5.819511054316941e-58,170337,1945,TRUE,Adjusted: Sex
1989,1998,10,10,30-39,-0.5524434958235319,0.5755417569154004,0.5552896721394975,0.5965324596745806,1.0631101231326157e-200,169836,3330,TRUE,Adjusted: Sex
1989,1998,10,10,40-49,-0.5613489738522368,0.5704390372471678,0.5563689840834035,0.5848649089444855,0,141735,5890,TRUE,Adjusted: Sex
1989,1998,10,10,50-59,-0.5146400023138945,0.597715732171934,0.5861798675076461,0.609478619599932,0,96528,9454,TRUE,Adjusted: Sex
1989,1998,10,10,60-69,-0.4559814762615982,0.6338255778090035,0.6248831070540628,0.6428960209515799,0,80997,18329,TRUE,Adjusted: Sex
1989,1998,10,10,70-79,-0.3358162419103328,0.7147544356589051,0.7059405940286064,0.723678320265824,0,57996,25690,TRUE,Adjusted: Sex
1989,1998,10,10,80-89,-0.19371932271705672,0.823889118778034,0.8119255251186824,0.83602899408985,1.5129168979857654e-148,23043,16961,TRUE,Adjusted: Sex
1990,1999,10,10,18-29,-0.45180956126228033,0.6364753677499453,0.6034990767234117,0.6712535435047383,3.29340635612406e-62,163331,1862,TRUE,Adjusted: Sex
1990,1999,10,10,30-39,-0.5558875051540456,0.5735629951273877,0.5531807364249024,0.5946962497385518,3.439862628204653e-199,164292,3232,TRUE,Adjusted: Sex
1990,1999,10,10,40-49,-0.5794207343255952,0.56022279042504,0.5463621346290608,0.5744350770660539,0,140225,5815,TRUE,Adjusted: Sex
1990,1999,10,10,50-59,-0.530195964029815,0.5884896355775646,0.5769236006907029,0.6002875437364574,0,95421,9146,TRUE,Adjusted: Sex
1990,1999,10,10,60-69,-0.46683469110009024,0.6269837278363567,0.6178245068675734,0.636278733850606,0,77626,17330,TRUE,Adjusted: Sex
1990,1999,10,10,70-79,-0.34595757005002953,0.7075425074628097,0.6985812397277794,0.7166187286418376,0,56318,24715,TRUE,Adjusted: Sex
1990,1999,10,10,80-89,-0.19685993440667404,0.8213056619215336,0.8092415397712124,0.833549635248673,7.219297955310749e-150,22887,16866,TRUE,Adjusted: Sex
1991,2000,10,10,18-29,-0.4747013757217653,0.6220707941726661,0.589501846528645,0.6564391193027548,4.5959491140904375e-67,157057,1784,TRUE,Adjusted: Sex
1991,2000,10,10,30-39,-0.5695248793398354,0.5657941953601772,0.5453638400976251,0.58698991015973,2.392383271245431e-202,158229,3121,TRUE,Adjusted: Sex
1991,2000,10,10,40-49,-0.5916011550926368,0.5534404309642509,0.5396134058708453,0.567621759010203,0,138798,5777,TRUE,Adjusted: Sex
1991,2000,10,10,50-59,-0.5367787383569357,0.5846284636673466,0.5729922954060335,0.5965009359992226,0,94547,8904,TRUE,Adjusted: Sex
1991,2000,10,10,60-69,-0.4689243915736024,0.6256748876616712,0.6161898996469126,0.6353058777412017,0,74055,16235,TRUE,Adjusted: Sex
