start_year,end_year,window_length,follow_up_years,age_group,coef,hr,conf_low,conf_high,p_value,n,n_events,converged,model_label,strat_var,stratum
1995,2004,10,10,30-39,-0.602072202618956,0.5476755646760092,0.513658958915359,0.5839448897699674,1.2520788994860101e-75,68208,1059,TRUE,Female,sex,Female
1995,2004,10,10,40-49,-0.6813927690694156,0.5059118830298004,0.4853875159970279,0.5273041126017045,3.88218805534097e-228,65920,2133,TRUE,Female,sex,Female
1995,2004,10,10,50-59,-0.6103263937636929,0.5431735516785571,0.52487699541103106,0.5621079030374617,5.092088029717716e-267,47407,3301,TRUE,Female,sex,Female
1995,2004,10,10,60-69,-0.5243434910540157,0.591943853264832,0.576215769442881,0.6081012426244455,1.19079e-318,32764,5444,TRUE,Female,sex,Female
1995,2004,10,10,70-79,-0.3530440772977681,0.7025462263555603,0.6880223653649504,0.7173766799057923,1.3455973364582255e-240,26145,9571,TRUE,Female,sex,Female
1995,2004,10,10,80-89,-0.21198743965332845,0.8089748585073586,0.7928305060146233,0.8254479573278809,2.179038176678912e-94,13839,9599,TRUE,Female,sex,Female
1996,2005,10,10,18-29,-0.5578201644757768,0.5724555637467491,0.511042664756023,0.6412485592001564,5.734271932738615e-22,67865,490,TRUE,Female,sex,Female
1996,2005,10,10,30-39,-0.613275186677055,0.5415742045892338,0.5073594136425457,0.5780963379997602,9.340993925764098e-76,65703,1014,TRUE,Female,sex,Female
1996,2005,10,10,40-49,-0.6849490168433651,0.5041159303411056,0.4835588071790612,0.5255469809478072,4.106047566319834e-228,65274,2104,TRUE,Female,sex,Female
1996,2005,10,10,50-59,-0.6139137087018292,0.5412285079107709,0.5229430101461859,0.5601533859175837,1.6055608687749723e-268,48131,3265,TRUE,Female,sex,Female
1996,2005,10,10,60-69,-0.5339178300989026,0.586303426882545,0.5704723026453199,0.6025738791878502,8.986e-320,32284,5221,TRUE,Female,sex,Female
1996,2005,10,10,70-79,-0.3606585520334958,0.6972170211624655,0.6825345828065541,0.712215302849258,7.122114152870653e-242,25405,9197,TRUE,Female,sex,Female
1996,2005,10,10,80-89,-0.20816436983204317,0.8120735453490074,0.7957866283024099,0.8286937975603947,3.4204220921296002e-90,14086,9747,TRUE,Female,sex,Female
1997,2006,10,10,18-29,-0.5360412417034398,0.5850597842320265,0.5213906513374392,0.6565038138823385,7.593726377681786e-20,68447,478,TRUE,Female,sex,Female
1997,2006,10,10,30-39,-0.6030917802734537,0.5471174514765729,0.5114231273735452,0.5853030293086119,1.0003748989274693e-68,65545,986,TRUE,Female,sex,Female
1997,2006,10,10,40-49,-0.6880858821011832,0.5025370642330864,0.48191004271863025,0.5240469766998821,3.637405241325105e-227,66098,2085,TRUE,Female,sex,Female
1997,2006,10,10,50-59,-0.6367676465787124,0.5289995770885403,0.5113679691359693,0.5472391104837596,9.748501757497674e-297,49672,3337,TRUE,Female,sex,Female
1997,2006,10,10,60-69,-0.530388021802666,0.5883766224216845,0.57219853297319,0.6050121240499053,2.913566106328764e-304,32787,5177,TRUE,Female,sex,Female
1997,2006,10,10,70-79,-0.35996314863394785,0.6977020368704452,0.6827997082831232,0.7129296136888815,3.3153456697422065e-234,25466,9129,TRUE,Female,sex,Female
1997,2006,10,10,80-89,-0.1989870911199301,0.8195604728724948,0.8029896444231119,0.8364732638333571,2.8685660791642673e-81,14467,9973,TRUE,Female,sex,Female
1998,2007,10,10,18-29,-0.5335145880459028,0.5865398967541758,0.5197178038400219,0.661953560071414,5.374340512824627e-18,66323,442,TRUE,Female,sex,Female
1998,2007,10,10,30-39,-0.580754677441062,0.5594759833004753,0.5211151523257953,0.6006606687466676,8.530688936788951e-58,62358,936,TRUE,Female,sex,Female
1998,2007,10,10,40-49,-0.6947743410198659,0.4991870813239635,0.4782322532391972,0.5210600926075583,2.83741578834145e-221,63956,2016,TRUE,Female,sex,Female
1998,2007,10,10,50-59,-0.6464462392060234,0.5239043029979912,0.5061150660185856,0.5423188067863833,1.690875932433485e-294,49333,3295,TRUE,Female,sex,Female
1998,2007,10,10,60-69,-0.5279861192693063,0.5897915442936236,0.5727935511769403,0.607293963078859,2.761232340977074e-274,32014,4904,TRUE,Female,sex,Female
1998,2007,10,10,70-79,-0.36179665971212494,0.6964239644945545,0.6810187154950869,0.7121776939268439,1.5177777344833189e-220,24289,8562,TRUE,Female,sex,Female
1998,2007,10,10,80-89,-0.19147950180257486,0.8257365510438511,0.8081088816021857,0.84374874135519,9.552549936308225e-68,14126,9618,TRUE,Female,sex,Female
1999,2008,10,10,18-29,-0.5127833146760759,0.5988265344701302,0.5317311130861769,0.6743882566965559,2.732094432471025e-17,64900,443,TRUE,Female,sex,Female
1999,2008,10,10,30-39,-0.5987397911593318,0.5495036893439166,0.5103266896241485,0.5916882474341337,1.092200900051193e-56,60043,875,TRUE,Female,sex,Female
1999,2008,10,10,40-49,-0.6921899490504838,0.5004788449008809,0.4788668564394229,0.5230662152226144,2.0223000359048054e-207,62429,1922,TRUE,Female,sex,Female
1999,2008,10,10,50-59,-0.6599383353937661,0.516883206908412,0.4990061252938109,0.535400741677505,1.2801721381925812e-295,49232,3237,TRUE,Female,sex,Female
1999,2008,10,10,60-69,-0.531702759793841,0.5876035696153685,0.5702981502168131,0.6054341135307157,2.8652906985019995e-266,31584,4705,TRUE,Female,sex,Female
1999,2008,10,10,70-79,-0.36484990338030227,0.6943008552688489,0.6784495414050985,0.71052251966845,1.712099709347291e-210,23499,8159,TRUE,Female,sex,Female
1999,2008,10,10,80-89,-0.1907735387480964,0.8263196963569245,0.8083949555296435,0.844641886885651,3.5342555654532948e-65,14000,9403,TRUE,Female,sex,Female
2000,2009,10,10,18-29,-0.5399181500928061,0.5827959522164511,0.5173341722578855,0.65654105244485494,6.593327625025913e-19,64777,438,TRUE,Female,sex,Female
2000,2009,10,10,30-39,-0.6238155287986167,0.5358958058929796,0.4963504952293127,0.5785917764441993,2.8668955243321583e-57,59107,857,TRUE,Female,sex,Female
2000,2009,10,10,40-49,-0.696927483210729,0.4981134168489653,0.47610845457691026,0.5211354128660415,8.95589054955108e-201,62109,1877,TRUE,Female,sex,Female
2000,2009,10,10,50-59,-0.6465191537168757,0.5238661041646462,0.5053970730204563,0.5430100602928025,4.9358965075616035e-273,50173,3277,TRUE,Female,sex,Female
2000,2009,10,10,60-69,-0.5239543243779134,0.5921742629176177,0.5744747209470668,0.61041912703124,4.754364954381885e-251,32188,4667,TRUE,Female,sex,Female
2000,2009,10,10,70-79,-0.3640222501308539,0.6948757334949064,0.6785572824453004,0.7115866228125076,4.9165928403724345e-198,23018,7876,TRUE,Female,sex,Female
2000,2009,10,10,80-89,-0.18715153869916945,0.8293180530837404,0.8112900439054549,0.8477466700562097,1.5549439195989814e-62,14086,9368,TRUE,Female,sex,Female
2001,2010,10,10,18-29,-0.4948509601242258,0.6096617644391088,0.5420238873579094,0.6857400119961402,1.6138025725456664e-16,64589,445,TRUE,Female,sex,Female
2001,2010,10,10,30-39,-0.6347672058555304,0.5300588685567369,0.4907228072688568,0.5725480861575578,1.4563847913240093e-58,58233,817,TRUE,Female,sex,Female
2001,2010,10,10,40-49,-0.6949213264127965,0.49911371350680006,0.47677665455715923,0.5224972670734711,1.8588946315308425e-194,61315,1788,TRUE,Female,sex,Female
2001,2010,10,10,50-59,-0.6611313771263577,0.5162669113779386,0.49806069974067335,0.5351386365607484,2.9656140934462842e-285,50913,3268,TRUE,Female,sex,Female
2001,2010,10,10,60-69,-0.5378282831092013,0.5840151918157017,0.566498826958198,0.6020731695119622,1.4546590844925103e-262,32985,4662,TRUE,Female,sex,Female
2001,2010,10,10,70-79,-0.35861717649531055,0.6986417566495942,0.6819853087536395,0.715705012805125,1.5520847127282568e-186,22646,7540,TRUE,Female,sex,Female
2001,2010,10,10,80-89,-0.17967812700620367,0.8355391056074163,0.8174509931199847,0.8540274620435515,2.96815011902111e-58,14138,9314,TRUE,Female,sex,Female
2002,2011,10,10,18-29,-0.47700810093373386,0.6206375015297999,0.55075843485274,0.6993826765597216,5.004251933523015e-15,65383,429,TRUE,Female,sex,Female
2002,2011,10,10,30-39,-0.6145653483259044,0.540875936856448,0.4999870523277593,0.585108709732278,5.347458769646916e-53,58158,786,TRUE,Female,sex,Female
2002,2011,10,10,40-49,-0.6775597230939565,0.5078547877797995,0.484706294464426,0.5321088015905567,3.1180258045696114e-178,61260,1719,TRUE,Female,sex,Female
2002,2011,10,10,50-59,-0.6610864554776575,0.5162901034596764,0.4980562459232155,0.535191503193191,2.2803569056357042e-284,52354,3228,TRUE,Female,sex,Female
2002,2011,10,10,60-69,-0.5537124821600994,0.5748118654988151,0.557494460444674,0.5926671996968081,1.1036450835350154e-275,34521,4635,TRUE,Female,sex,Female
2002,2011,10,10,70-79,-0.36958387694795625,0.6910218209266907,0.6742530114455877,0.7082076741089568,4.2555460040807177e-191,22832,7285,TRUE,Female,sex,Female
2002,2011,10,10,80-89,-0.17462988408052252,0.8397677746802485,0.8216938199969238,0.8582392835740894,9.271808971837223e-56,14576,9396,TRUE,Female,sex,Female
2003,2012,10,10,18-29,-0.48184869084251825,0.6176405093598611,0.5479009395131182,0.6962568801968172,3.211669797377276e-15,67322,414,TRUE,Female,sex,Female
