age_group,year,srh_cat,prop,se
50-59,2010,Poor,0.037576341650623464,0.0034821150130861234
50-59,2010,Fair,0.13265429226438716,0.006730104286496752
50-59,2010,Good,0.32476241057754,0.009591079812580923
50-59,2010,Very Good,0.34944009718027447,0.010091143663595877
50-59,2010,Excellent,0.15556685832771977,0.008663265349622942
50-59,2011,Poor,0.03859758818864373,0.003228122123369618
50-59,2011,Fair,0.1233734561068675,0.006261445894406671
50-59,2011,Good,0.3307791290108068,0.010955757704561694
50-59,2011,Very Good,0.3567232342572311,0.00983286869632767
50-59,2011,Excellent,0.15052659243877647,0.008911889119304349
50-59,2012,Poor,0.038623632264835644,0.0033179996230374323
50-59,2012,Fair,0.12533840484434722,0.006780068490770033
50-59,2012,Good,0.32232284770228986,0.00861432046469785
50-59,2012,Very Good,0.36076961463700286,0.009192698657812136
50-59,2012,Excellent,0.15294550138889115,0.008137098594051276
50-59,2013,Poor,0.037538011663439855,0.0040670596185356424
50-59,2013,Fair,0.13175128841087194,0.006661396154816441
50-59,2013,Good,0.308773686617886,0.010338216711694737
50-59,2013,Very Good,0.36615363420826963,0.011440907042153434
50-59,2013,Excellent,0.1557833791002462,0.0088670480633893
50-59,2014,Poor,0.03817572020115504,0.0038639649346652073
50-59,2014,Fair,0.13764490508964908,0.007195140415234173
50-59,2014,Good,0.32505616904281853,0.010113074741880675
50-59,2014,Very Good,0.335598300178127,0.010150890191479045
50-59,2014,Excellent,0.16352490694475255,0.00928659920480849
50-59,2015,Poor,0.0350161347510903,0.0033886651015711702
50-59,2015,Fair,0.13413066396235188,0.006286207111873241
50-59,2015,Good,0.3226371514344249,0.009888176202480363
50-59,2015,Very Good,0.3537927210749606,0.010980945278663213
50-59,2015,Excellent,0.15442332877774045,0.007869868982970544
50-59,2016,Poor,0.027837939155438664,0.0028185621112742595
50-59,2016,Fair,0.13402609569371565,0.00670680150713639
50-59,2016,Good,0.31547637190539796,0.010572537821651129
50-59,2016,Very Good,0.3544705656991167,0.01136109396934942
50-59,2016,Excellent,0.16818902754754905,0.009414492844687847
50-59,2017,Poor,0.029627337279005687,0.002825664027480139
50-59,2017,Fair,0.1176933840176102,0.0063202300038570185
50-59,2017,Good,0.34544985769349684,0.010920410853862157
50-59,2017,Very Good,0.34781466225736335,0.010398608915139647
50-59,2017,Excellent,0.15941475875803574,0.008515580264279825
50-59,2018,Poor,0.02696394852474199,0.003144204696004748
50-59,2018,Fair,0.12054416510806325,0.006813359381212466
50-59,2018,Good,0.32109855765580164,0.010070226401123514
50-59,2018,Very Good,0.36789627950883136,0.009989388125252236
50-59,2018,Excellent,0.16349704920362307,0.009381821672714698
50-59,2019,Poor,0.03341451923411908,0.00400913919479263
50-59,2019,Fair,0.11529220259885975,0.006576740294551892
50-59,2019,Good,0.33027100060307696,0.011205556934552503
50-59,2019,Very Good,0.35739875375060465,0.011932853171619313
50-59,2019,Excellent,0.16362352381581488,0.00836677041861469
50-59,2020,Poor,0.023384503722874695,0.0034421603432954174
50-59,2020,Fair,0.11719753299255482,0.008098445270676359
50-59,2020,Good,0.3319736725862118,0.013320200345464609
50-59,2020,Very Good,0.37310578097055863,0.01237272124160005
50-59,2020,Excellent,0.15433851213485983,0.010261552137164362
50-59,2021,Poor,0.022805433718257495,0.004168311754668884
50-59,2021,Fair,0.11637587412930285,0.009114902759845413
50-59,2021,Good,0.3396155208217936,0.013608936376093245
50-59,2021,Very Good,0.36731979029904954,0.012614931698243311
50-59,2021,Excellent,0.15388338105974042,0.010466585094144913
