"age","estimate","ci_lower_90","ci_upper_90","model","estimate_centered","ci_lower_centered","ci_upper_centered"
48,2.99663972319686,2.9681386231384,3.02541554819513,"M3: Cohort Smooth",-0.308930605741448,-0.285312218151606,-0.332291574476171
49,2.98103793268881,2.95315481259593,3.00899949257351,"M3: Cohort Smooth",-0.324532396249502,-0.300296028694075,-0.348707630097791
50,2.9658211888926,2.93845589774056,2.99333040184223,"M3: Cohort Smooth",-0.339749140045707,-0.314994943549449,-0.364376720829066
51,2.9511221395338,2.92406843322291,2.97834254402039,"M3: Cohort Smooth",-0.354448189404506,-0.329382408067097,-0.379364578650914
52,2.93707343233797,2.91026104434666,2.96396965296581,"M3: Cohort Smooth",-0.368496896600339,-0.343189796943349,-0.393737469705494
53,2.92380771503066,2.89684538399398,2.95058975118037,"M3: Cohort Smooth",-0.381762613907648,-0.356605457296026,-0.407117371490926
54,2.91145763533744,2.88438012925112,2.9384493957527,"M3: Cohort Smooth",-0.394112693600873,-0.369070712038883,-0.419257726918598
55,2.90015584098385,2.87314135050772,2.92716993346267,"M3: Cohort Smooth",-0.405414487954455,-0.380309490782286,-0.430537189208634
56,2.88999457917017,2.86320630594189,2.91679955733363,"M3: Cohort Smooth",-0.415575749768137,-0.390244535348117,-0.440907565337667
57,2.88090449499545,2.8541746895205,2.90751028892301,"M3: Cohort Smooth",-0.42466583394286,-0.399276151769509,-0.450196833748288
58,2.87277583303344,2.84643059763883,2.89893931700369,"M3: Cohort Smooth",-0.432794495904867,-0.40702024365118,-0.458767805667611
59,2.86549883785791,2.83976693298124,2.89135976394928,"M3: Cohort Smooth",-0.440071491080401,-0.413683908308766,-0.466347358722023
60,2.8589637540426,2.83369001149735,2.88444176379424,"M3: Cohort Smooth",-0.446606574895705,-0.419760829792658,-0.473265358877055
61,2.85306082616129,2.82821875043445,2.87799788738268,"M3: Cohort Smooth",-0.45250950277702,-0.425232090855553,-0.479709235288615
62,2.84768029878772,2.82313525690646,2.87231516941423,"M3: Cohort Smooth",-0.45789003015059,-0.430315584383544,-0.485391953257071
63,2.84271241649565,2.81843928317314,2.86705486136771,"M3: Cohort Smooth",-0.462857912442658,-0.435011558116869,-0.490652261303592
64,2.83804742385884,2.81370540501555,2.86253365390176,"M3: Cohort Smooth",-0.467522905079466,-0.439745436274453,-0.495173468769539
65,2.83357556545105,2.80902100250048,2.85824790187612,"M3: Cohort Smooth",-0.471994763487257,-0.444429838789526,-0.499459220795178
66,2.82918708584604,2.80446904009238,2.85414849566671,"M3: Cohort Smooth",-0.476383243092273,-0.448981801197629,-0.503558627004587
67,2.82477222961755,2.79956257259944,2.85000867553528,"M3: Cohort Smooth",-0.480798099320757,-0.453888268690567,-0.507698447136015
