"cohort","estimate","std_error","ci_lower_90","ci_upper_90","model","type"
1957.4693877551,-0.0267815924583958,NA,-0.0619346454235195,0.00754375715907241,"M4: Both Smooth","spline"
1959.91836734694,-0.035643938227639,NA,-0.0744643571773191,0.0015633488839808,"M4: Both Smooth","spline"
1962.36734693878,-0.043546664364198,NA,-0.0892402804989167,0.000345727898290793,"M4: Both Smooth","spline"
1964.81632653061,-0.0498962026391188,NA,-0.100620899696231,-0.00102191706192745,"M4: Both Smooth","spline"
1967.26530612245,-0.0572192523633617,NA,-0.115094245361653,-0.00187488688919579,"M4: Both Smooth","spline"
1969.71428571429,-0.0678283990258528,NA,-0.133189652372226,-0.00563794509068227,"M4: Both Smooth","spline"
1972.16326530612,-0.081824717990127,NA,-0.154447648557362,-0.0122475216032552,"M4: Both Smooth","spline"
1974.61224489796,-0.0980046123090941,NA,-0.178417055532693,-0.0209054978478571,"M4: Both Smooth","spline"
1977.0612244898,-0.115147622349021,NA,-0.202352481358369,-0.030258898690843,"M4: Both Smooth","spline"
1979.51020408163,-0.13203328847618,NA,-0.227767448556949,-0.0402310113357349,"M4: Both Smooth","spline"
1981.95918367347,-0.147560290321132,NA,-0.251453184929202,-0.0482860130317033,"M4: Both Smooth","spline"
1984.40816326531,-0.161507821139618,NA,-0.272698781482813,-0.0552453748540853,"M4: Both Smooth","spline"
1986.85714285714,-0.174049723000355,NA,-0.292360032164481,-0.0611929677273153,"M4: Both Smooth","spline"
1989.30612244898,-0.185361699523057,NA,-0.311745979379978,-0.0650285204365382,"M4: Both Smooth","spline"
1991.75510204082,-0.195619454327447,NA,-0.32882322870372,-0.0676821173243929,"M4: Both Smooth","spline"
1994.20408163265,-0.204998691033241,NA,-0.345874870901556,-0.0693340042602872,"M4: Both Smooth","spline"
1996.65306122449,-0.213675113260161,NA,-0.362490329235738,-0.0689524154995005,"M4: Both Smooth","spline"
1999.10204081633,-0.221824424627922,NA,-0.379487019970823,-0.0686354915512837,"M4: Both Smooth","spline"
2001.55102040816,-0.229622328756247,NA,-0.398504005377522,-0.0663375345544139,"M4: Both Smooth","spline"
2004,-0.237244529264852,NA,-0.41716270274692,-0.0630228819507992,"M4: Both Smooth","spline"
