"year","age_group","stratum","mean_srh","n","dataset"
2001,"50-59","NH-Black",3.15672249142407,2658,"BRFSS"
2001,"50-59","NH-AIAN",2.99756355531953,567,"BRFSS"
2001,"50-59","NH-Asian/PI",3.57910538710414,735,"BRFSS"
2001,"50-59","Hispanic",2.9881594431874,2286,"BRFSS"
2001,"50-59","Other",3.50369466371972,596,"BRFSS"
2001,"60-69","NH-White",3.36675366546002,19649,"BRFSS"
2001,"60-69","NH-Black",2.91805181342978,1695,"BRFSS"
2001,"60-69","NH-AIAN",2.58224394840733,347,"BRFSS"
2001,"60-69","NH-Asian/PI",3.31270333566063,443,"BRFSS"
2001,"60-69","Hispanic",2.85452262390274,1709,"BRFSS"
2001,"60-69","Other",3.04316947108528,436,"BRFSS"
2001,"70-79","NH-White",3.15168636326175,16450,"BRFSS"
2001,"70-79","NH-Black",2.79269092045909,1078,"BRFSS"
2001,"70-79","NH-AIAN",2.84550974645939,168,"BRFSS"
2001,"70-79","NH-Asian/PI",3.36032468568025,343,"BRFSS"
2001,"70-79","Hispanic",2.71527983943577,967,"BRFSS"
2001,"70-79","Other",2.82050986276719,389,"BRFSS"
2001,"80-89","NH-White",2.97733956290923,7477,"BRFSS"
2001,"80-89","NH-Black",2.59672604574752,383,"BRFSS"
2001,"80-89","NH-AIAN",2.6305861629148,61,"BRFSS"
2001,"80-89","NH-Asian/PI",3.25766064848044,124,"BRFSS"
2001,"80-89","Hispanic",2.63219983754515,367,"BRFSS"
2001,"80-89","Other",2.71420646483296,243,"BRFSS"
2002,"18-29","NH-White",3.88525359019451,25534,"BRFSS"
2002,"18-29","NH-Black",3.75057910271933,3798,"BRFSS"
2002,"18-29","NH-AIAN",3.6451448443457,711,"BRFSS"
2002,"18-29","NH-Asian/PI",3.80123860805624,1567,"BRFSS"
2002,"18-29","Hispanic",3.58844712371432,4483,"BRFSS"
2002,"18-29","Other",3.75915619892336,654,"BRFSS"
2002,"30-39","NH-White",3.88859256392685,33955,"BRFSS"
2002,"30-39","NH-Black",3.69385622425563,4224,"BRFSS"
2002,"30-39","NH-AIAN",3.33626631112644,759,"BRFSS"
2002,"30-39","NH-Asian/PI",3.92300563045809,1729,"BRFSS"
2002,"30-39","Hispanic",3.37985441284654,4378,"BRFSS"
2002,"30-39","Other",3.68740898766156,675,"BRFSS"
2002,"40-49","NH-White",3.72751185363661,41067,"BRFSS"
2002,"40-49","NH-Black",3.44709072346219,4204,"BRFSS"
2002,"40-49","NH-AIAN",3.12167627409217,911,"BRFSS"
2002,"40-49","NH-Asian/PI",3.75779990419821,1441,"BRFSS"
2002,"40-49","Hispanic",3.13790780781463,3474,"BRFSS"
2002,"40-49","Other",3.46167212055275,765,"BRFSS"
2002,"50-59","NH-White",3.57031970063956,35646,"BRFSS"
2002,"50-59","NH-Black",3.04129866470804,3036,"BRFSS"
2002,"50-59","NH-AIAN",3.25104049242316,694,"BRFSS"
2002,"50-59","NH-Asian/PI",3.76942563042764,975,"BRFSS"
2002,"50-59","Hispanic",2.94655229816886,2450,"BRFSS"
2002,"50-59","Other",3.41760327049676,703,"BRFSS"
2002,"60-69","NH-White",3.36393869291885,25540,"BRFSS"
2002,"60-69","NH-Black",2.78634006635777,2038,"BRFSS"
2002,"60-69","NH-AIAN",2.93697381320788,403,"BRFSS"
2002,"60-69","NH-Asian/PI",3.34178047439172,580,"BRFSS"
2002,"60-69","Hispanic",2.83475814065658,1717,"BRFSS"
2002,"60-69","Other",3.0534540229371,532,"BRFSS"
2002,"70-79","NH-White",3.11374659205115,20999,"BRFSS"
2002,"70-79","NH-Black",2.62390019701764,1249,"BRFSS"
2002,"70-79","NH-AIAN",2.88801256532714,233,"BRFSS"
2002,"70-79","NH-Asian/PI",3.10529975427381,514,"BRFSS"
2002,"70-79","Hispanic",2.58857625568648,1099,"BRFSS"
2002,"70-79","Other",2.82634293414672,469,"BRFSS"
2002,"80-89","NH-White",2.97179332320118,9904,"BRFSS"
2002,"80-89","NH-Black",2.68885455734528,491,"BRFSS"
2002,"80-89","NH-AIAN",2.96670770572188,82,"BRFSS"
2002,"80-89","NH-Asian/PI",3.52813769919312,208,"BRFSS"
2002,"80-89","Hispanic",2.61020221387763,381,"BRFSS"
2002,"80-89","Other",2.94793861572355,325,"BRFSS"
2003,"18-29","NH-White",3.88520302111805,25299,"BRFSS"
2003,"18-29","NH-Black",3.7171566768236,3866,"BRFSS"
2003,"18-29","NH-AIAN",3.54840276466764,792,"BRFSS"
