"dataset","year","model","model_name","r_squared","n"
"GSS",2010,3,"srh_age_sex",0.0256284624939147,1276
"GSS",2010,4,"srh_age_sex_interaction",0.0273841249237942,1276
"GSS",2012,1,"srh_age",0.0302029150820053,1301
"GSS",2012,2,"srh_sex",0.000921104128538075,1301
"GSS",2012,3,"srh_age_sex",0.0309318237423901,1301
"GSS",2012,4,"srh_age_sex_interaction",0.031281850032809,1301
"GSS",2014,1,"srh_age",0.0200234325998152,1703
"GSS",2014,2,"srh_sex",0.000112463347774594,1703
"GSS",2014,3,"srh_age_sex",0.0201477078535923,1703
"GSS",2014,4,"srh_age_sex_interaction",0.0201848189246747,1703
"GSS",2016,1,"srh_age",0.00735035382266003,1877
"GSS",2016,2,"srh_sex",8.00629881207993e-05,1877
"GSS",2016,3,"srh_age_sex",0.00736826371483601,1877
"GSS",2016,4,"srh_age_sex_interaction",0.00813752697211767,1877
"GSS",2018,1,"srh_age",0.00767056406925881,1567
"GSS",2018,2,"srh_sex",0.000211907444414017,1567
"GSS",2018,3,"srh_age_sex",0.00790947989636348,1567
"GSS",2018,4,"srh_age_sex_interaction",0.00830396283707657,1567
"GSS",2021,1,"srh_age",0.00207022967568427,3684
"GSS",2021,2,"srh_sex",0.000422634372772124,3684
"GSS",2021,3,"srh_age_sex",0.00254797008630847,3684
"GSS",2021,4,"srh_age_sex_interaction",0.00366369535787925,3684
"GSS",2022,1,"srh_age",0.0143750725178327,3325
"GSS",2022,2,"srh_sex",0.000558567820113987,3325
"GSS",2022,3,"srh_age_sex",0.0149482619237309,3325
"GSS",2022,4,"srh_age_sex_interaction",0.0149482861826253,3325
"GSS",2024,1,"srh_age",0.0091031178960187,3159
"GSS",2024,2,"srh_sex",5.16924849558453e-05,3159
"GSS",2024,3,"srh_age_sex",0.00916402435861385,3159
"GSS",2024,4,"srh_age_sex_interaction",0.0119016080972321,3159
"MEPS",2000,1,"srh_age",0.0926967775870997,15288
"MEPS",2000,2,"srh_sex",0.00376875070387195,15288
"MEPS",2000,3,"srh_age_sex",0.0951033189161491,15288
"MEPS",2000,4,"srh_age_sex_interaction",0.0951155011566178,15288
"MEPS",2001,1,"srh_age",0.0830795926119658,20674
"MEPS",2001,2,"srh_sex",0.00437831068779704,20674
"MEPS",2001,3,"srh_age_sex",0.0858065596718136,20674
"MEPS",2001,4,"srh_age_sex_interaction",0.086011100683747,20674
"MEPS",2002,1,"srh_age",0.0937088010299014,24043
"MEPS",2002,2,"srh_sex",0.00305685552303392,24043
"MEPS",2002,3,"srh_age_sex",0.09540759962738,24043
"MEPS",2002,4,"srh_age_sex_interaction",0.0956620268452638,24043
"MEPS",2003,1,"srh_age",0.0706460723658987,20664
"MEPS",2003,2,"srh_sex",0.00212677869753619,20664
"MEPS",2003,3,"srh_age_sex",0.0719098950591077,20664
"MEPS",2003,4,"srh_age_sex_interaction",0.0726133972724249,20664
"MEPS",2004,1,"srh_age",0.0839431239775157,20777
"MEPS",2004,2,"srh_sex",0.00272142375509821,20777
"MEPS",2004,3,"srh_age_sex",0.0854647251282656,20777
"MEPS",2004,4,"srh_age_sex_interaction",0.0862498918039494,20777
"MEPS",2005,1,"srh_age",0.0714012680290182,20526
"MEPS",2005,2,"srh_sex",0.00362075439257059,20526
"MEPS",2005,3,"srh_age_sex",0.0737582745613363,20526
"MEPS",2005,4,"srh_age_sex_interaction",0.0741846885325247,20526
"MEPS",2006,1,"srh_age",0.0809355228127007,20634
"MEPS",2006,2,"srh_sex",0.00189588705696464,20634
"MEPS",2006,3,"srh_age_sex",0.0818363929061443,20634
"MEPS",2006,4,"srh_age_sex_interaction",0.0819461966941627,20634
"MEPS",2007,1,"srh_age",0.0868051725311149,18872
"MEPS",2007,2,"srh_sex",0.00312964281271355,18872
"MEPS",2007,3,"srh_age_sex",0.0885745314668456,18872
"MEPS",2007,4,"srh_age_sex_interaction",0.0886844174652945,18872
"MEPS",2008,1,"srh_age",0.0825318389959946,20323
"MEPS",2008,2,"srh_sex",0.00231730712049272,20323
"MEPS",2008,3,"srh_age_sex",0.0837074704567501,20323
"MEPS",2008,4,"srh_age_sex_interaction",0.0845485232953335,20323
"MEPS",2009,1,"srh_age",0.0665850335903173,22903
"MEPS",2009,2,"srh_sex",0.00293271985961863,22903
"MEPS",2009,3,"srh_age_sex",0.0683931086313558,22903
"MEPS",2009,4,"srh_age_sex_interaction",0.0693311960860041,22903
"MEPS",2010,1,"srh_age",0.0734053178703729,20575
"MEPS",2010,2,"srh_sex",0.00161839619873538,20575
"MEPS",2010,3,"srh_age_sex",0.0742213202535172,20575
"MEPS",2010,4,"srh_age_sex_interaction",0.0743764045293782,20575
"MEPS",2011,1,"srh_age",0.0702586463462055,22141
"MEPS",2011,2,"srh_sex",0.00180541943975943,22141
"MEPS",2011,3,"srh_age_sex",0.0713021227558711,22141
"MEPS",2011,4,"srh_age_sex_interaction",0.0716726241545413,22141
"MEPS",2012,1,"srh_age",0.0604018402116515,24807
"MEPS",2012,2,"srh_sex",0.00186657453537709,24807
"MEPS",2012,3,"srh_age_sex",0.0615235597674377,24807
"MEPS",2012,4,"srh_age_sex_interaction",0.0632465045948254,24807
"MEPS",2013,1,"srh_age",0.0683711958912818,22717
"MEPS",2013,2,"srh_sex",0.00230335767484269,22717
"MEPS",2013,3,"srh_age_sex",0.0697469639392385,22717
"MEPS",2013,4,"srh_age_sex_interaction",0.0704988929529304,22717
"MEPS",2014,1,"srh_age",0.0730650203023366,20863
"MEPS",2014,2,"srh_sex",0.00275524365659319,20863
"MEPS",2014,3,"srh_age_sex",0.0748839154835522,20863
"MEPS",2014,4,"srh_age_sex_interaction",0.0751570832510922,20863
"MEPS",2015,1,"srh_age",0.0658910078311485,21292
"MEPS",2015,2,"srh_sex",0.00151629644205276,21292
"MEPS",2015,3,"srh_age_sex",0.0667362915107664,21292
