"dataset","year","stratum","beta_age","se","p_value","n"
"NHIS",2020,"Male",-0.0173216236200024,0.000574536205475989,1.00767300316974e-193,14488
"NHIS",2020,"Female",-0.0150602070865535,0.000530568640549401,3.33739855236706e-173,16988
"NHIS",2021,"Male",-0.0175874006736767,0.000565177940219617,2.67841156663809e-205,13347
"NHIS",2021,"Female",-0.0152308993152239,0.000509426367471716,3.53442432360076e-191,16034
"NHIS",2022,"Male",-0.0167877148945944,0.000575223482231661,3.11914350234845e-181,12570
"NHIS",2022,"Female",-0.0129489290063331,0.00053168741984746,1.60448404296304e-128,15008
"NHIS",2023,"Male",-0.0153541247450416,0.000561246299181639,2.13703332387565e-160,13421
"NHIS",2023,"Female",-0.0136641715083348,0.000511904369020075,1.28787887669321e-153,16010
"NHIS",2024,"Male",-0.0167622582918786,0.000533263744547336,4.52548173899141e-210,14955
"NHIS",2024,"Female",-0.012008517806804,0.000512771044511247,1.83299355610006e-119,17602
"CPS",1996,"Male",-0.0249460160452457,0.000337912177891005,0,43903
"CPS",1996,"Female",-0.0251526282164546,0.000298028519433763,0,49882
"CPS",1997,"Male",-0.0244606919394674,0.000337422015510063,0,44665
"CPS",1997,"Female",-0.0245165049902053,0.000289433569030135,0,50514
"CPS",1998,"Male",-0.0237587774041144,0.000331470737384732,0,44803
"CPS",1998,"Female",-0.0239820328867975,0.000292095704183369,0,50173
"CPS",1999,"Male",-0.023761757819273,0.000330191582148917,0,45275
"CPS",1999,"Female",-0.0232249041925372,0.000283884959551367,0,50516
"CPS",2000,"Male",-0.0237269407104903,0.000328611749288291,0,46278
"CPS",2000,"Female",-0.0232247577425937,0.000290019162197254,0,50939
"CPS",2001,"Male",-0.023975493693605,0.000288963482855372,0,71248
"CPS",2001,"Female",-0.0237167806267815,0.000256676768766889,0,78938
"CPS",2002,"Male",-0.0228383881042353,0.000288685613042574,0,70774
"CPS",2002,"Female",-0.0234567908928987,0.000259612500075407,0,79105
"CPS",2003,"Male",-0.0228735667465765,0.00028806837835487,0,71031
"CPS",2003,"Female",-0.0238416366765703,0.00026021518404153,0,78813
"CPS",2004,"Male",-0.0225655965865134,0.000288871391830513,0,70108
"CPS",2004,"Female",-0.0228843319819381,0.000260347629353513,0,78072
"CPS",2005,"Male",-0.0222243306031644,0.000287824601328344,0,69327
"CPS",2005,"Female",-0.0229422663121665,0.00025466606654764,0,77191
"CPS",2006,"Male",-0.0225785144153448,0.000282019518318032,0,69098
"CPS",2006,"Female",-0.02246781082597,0.000253563833188902,0,76654
"CPS",2007,"Male",-0.0223848511074342,0.000282286706571767,0,68779
"CPS",2007,"Female",-0.022583004388557,0.000257372912954948,0,76139
"CPS",2008,"Male",-0.0217268190641793,0.000283866107248594,0,68959
"CPS",2008,"Female",-0.0222109184158126,0.000256669467620896,0,76650
"CPS",2009,"Male",-0.021820567100317,0.000281803787297913,0,69803
"CPS",2009,"Female",-0.0220315880482414,0.000254714380891428,0,77360
"CPS",2010,"Male",-0.021292834111752,0.000270806101558317,0,71001
"CPS",2010,"Female",-0.0205386891023535,0.00024951277766018,0,78070
"CPS",2011,"Male",-0.0214827781176137,0.000271604787153747,0,69689
"CPS",2011,"Female",-0.0212009390760071,0.000247535933832612,0,77096
"CPS",2012,"Male",-0.0214653978409003,0.000273258179558163,0,68800
"CPS",2012,"Female",-0.0210016085586323,0.000250980175237695,0,76003
"CPS",2013,"Male",-0.0211593329340179,0.000267464208917831,0,69464
"CPS",2013,"Female",-0.0209399142195544,0.00025057091871378,0,76298
"CPS",2014,"Male",-0.0215322273372281,0.000296387407109676,0,68643
"CPS",2014,"Female",-0.0210140620132687,0.000279645577462883,0,75655
"CPS",2015,"Male",-0.0204339090311827,0.000266860029903048,0,68576
"CPS",2015,"Female",-0.0204864377161293,0.000243758502475864,0,75703
"CPS",2016,"Male",-0.0206462451099726,0.00027208116643197,0,63961
"CPS",2016,"Female",-0.0203683865807958,0.000253119873258653,0,70601
"CPS",2017,"Male",-0.0205042628079693,0.000269664554246134,0,64511
"CPS",2017,"Female",-0.0201198890050513,0.000252189912349591,0,71239
"CPS",2018,"Male",-0.0204780769899136,0.000268992373417073,0,62786
"CPS",2018,"Female",-0.0200207612852287,0.000248723554245882,0,69358
"CPS",2019,"Male",-0.0179928709411597,0.000270625136123035,0,63281
"CPS",2019,"Female",-0.0180452299339664,0.0002530033764962,0,69587
"CPS",2020,"Male",-0.017970996346788,0.000279087480673734,0,56245
"CPS",2020,"Female",-0.0183474188847463,0.000261905798448666,0,61518
"CPS",2021,"Male",-0.0175124168450251,0.000272040106327346,0,58267
"CPS",2021,"Female",-0.017502631487555,0.000254654964596863,0,63578
"CPS",2022,"Male",-0.0178708766788579,0.000279992011951268,0,54841
"CPS",2022,"Female",-0.0173892547615321,0.000264897991131588,0,59317
"CPS",2023,"Male",-0.0175638490445963,0.000279248538544871,0,52710
"CPS",2023,"Female",-0.0167273060412154,0.000265810299083363,0,57298
"CPS",2024,"Male",-0.0176350059227163,0.000281746200230967,0,52482
"CPS",2024,"Female",-0.0170318623739725,0.000267774339578941,0,56885
"CPS",2025,"Male",-0.017420957674255,0.000281602764416063,0,51897
"CPS",2025,"Female",-0.0166474108198206,0.00026875564574342,0,56147
"NHANES",1999.5,"Male",-0.0149957792095135,0.00149588670072138,3.4804393203507e-23,2330
"NHANES",1999.5,"Female",-0.0122723286495327,0.00140904727562367,5.27939619690714e-18,2639
"NHANES",2001.5,"Male",-0.0109109421479829,0.00128803393845102,3.9501899689124e-17,2684
"NHANES",2001.5,"Female",-0.00913058025868382,0.00131613496606819,4.90366889623597e-12,2906
"NHANES",2003.5,"Male",-0.012677546160937,0.00126228402510906,2.65862409638668e-23,2542
"NHANES",2003.5,"Female",-0.0121178732743736,0.00119932214067675,1.35964272320043e-23,2758
"NHANES",2005.5,"Male",-0.00859114928022449,0.00128619563948195,2.93089391907936e-11,2560
"NHANES",2005.5,"Female",-0.00865762008286999,0.00116676404547837,1.54748471552989e-13,2769
"NHANES",2007.5,"Male",-0.0111246023519247,0.0012376723548171,4.3784089513325e-19,2954
"NHANES",2007.5,"Female",-0.0101972533813571,0.00115916387518631,2.30897666220766e-18,3039
"NHANES",2009.5,"Male",-0.0098046241080843,0.00116429323346864,5.63226666578043e-17,3091
"NHANES",2009.5,"Female",-0.00733233300650043,0.00106786363322511,7.85115947318477e-12,3267
"NHANES",2011.5,"Male",-0.0102272373800865,0.00136937004281097,1.08029491637577e-13,2771
"NHANES",2011.5,"Female",-0.00697318925066693,0.0013442651775917,2.28294758694047e-07,2843
"NHANES",2013.5,"Male",-0.00708815355149173,0.00132384810387258,9.28524570251975e-08,2819
"NHANES",2013.5,"Female",-0.00586600359008597,0.00112147712385794,1.80192444841292e-07,3100
