"dataset","year","stratum","beta_age","se","p_value","n"
"MEPS",2000,"NH-White",-0.0179359286760579,0.000597434869219177,2.60447497173316e-189,9560
"MEPS",2000,"NH-Black",-0.0203838790490199,0.00146438448958979,3.79829007551163e-42,2044
"MEPS",2000,"NH-AIAN",-0.0198467750682146,0.00804726149006936,0.0158758016869963,79
"MEPS",2000,"NH-Asian/PI",-0.0133519103359354,0.00314401021020116,2.77318412641985e-05,357
"MEPS",2000,"Hispanic",-0.0224529658948779,0.0013922567082273,2.41012190348457e-56,3248
"MEPS",2000,"Other",NA,NA,NA,0
"MEPS",2001,"NH-White",-0.0168146330398559,0.00051288636354941,1.50695224994553e-226,12972
"MEPS",2001,"NH-Black",-0.0195237163164645,0.0012416255819061,2.1484225862213e-53,2724
"MEPS",2001,"NH-AIAN",-0.0240673304178108,0.00533265210254297,1.30489904779817e-05,148
"MEPS",2001,"NH-Asian/PI",-0.0178174474420546,0.0026605131234222,4.9326330321962e-11,597
"MEPS",2001,"Hispanic",-0.020783451631932,0.00116537353424663,1.18189022813103e-68,4233
"MEPS",2001,"Other",NA,NA,NA,0
"MEPS",2002,"NH-White",-0.0177060213418169,0.000486197429834517,9.98347925203122e-278,14250
"MEPS",2002,"NH-Black",-0.0248125667241758,0.00118312373533787,1.00494335170671e-91,3270
"MEPS",2002,"NH-AIAN",-0.0206087037610538,0.00444134026779355,6.63803661122192e-06,184
"MEPS",2002,"NH-Asian/PI",-0.0209971166436509,0.00223265296671253,4.06083698160412e-20,919
"MEPS",2002,"Hispanic",-0.0208829919203061,0.00115425314728751,5.40289825929923e-71,5184
"MEPS",2002,"Other",-0.0256189698364569,0.00373740442037656,6.28567886945974e-11,236
"MEPS",2003,"NH-White",-0.0130355930592712,0.00257138815334743,4.05002297275497e-07,11715
"MEPS",2003,"NH-Black",-0.0218692666885009,0.00132964861593613,3.31328395251808e-58,2928
"MEPS",2003,"NH-AIAN",-0.0184670424734688,0.00584285830961786,0.00200075806092527,120
"MEPS",2003,"NH-Asian/PI",-0.0221442956589913,0.00239386716530276,1.53508780436819e-19,918
"MEPS",2003,"Hispanic",-0.0199086634063293,0.00123591013484504,6.94887400073369e-57,4758
"MEPS",2003,"Other",-0.0179598315825671,0.00442764003232442,6.89473080228332e-05,225
"MEPS",2004,"NH-White",-0.0167258281564935,0.000544196353025286,1.51444217086315e-199,11680
"MEPS",2004,"NH-Black",-0.0191161498658437,0.00131314804027409,2.24246112124288e-46,2878
"MEPS",2004,"NH-AIAN",-0.0204679754208523,0.00731514892451738,0.0060809176928024,111
"MEPS",2004,"NH-Asian/PI",-0.0198704688066881,0.00233956175323,7.66475151935812e-17,953
"MEPS",2004,"Hispanic",-0.0228080502217921,0.00116918437309126,1.16177623179629e-81,4866
