"year","age_group","stratum","mean_srh","n","dataset"
2021,"40-49","Female",3.51847324511152,29581,"BRFSS"
2021,"40-49","Male",3.59083314712519,26285,"BRFSS"
2021,"50-59","Female",3.39746594494981,37329,"BRFSS"
2021,"50-59","Male",3.43432206893856,32537,"BRFSS"
2021,"60-69","Female",3.32800292988314,47351,"BRFSS"
2021,"60-69","Male",3.28427462229374,40318,"BRFSS"
2021,"70-79","Female",3.25946086145161,40096,"BRFSS"
2021,"70-79","Male",3.21459514389361,30944,"BRFSS"
2021,"80-89","Female",3.0881017107201,20723,"BRFSS"
2021,"80-89","Male",3.07887034312435,13076,"BRFSS"
2022,"18-29","Female",3.62912700721198,22183,"BRFSS"
2022,"18-29","Male",3.71443456482197,26539,"BRFSS"
2022,"30-39","Female",3.55935926184302,27521,"BRFSS"
2022,"30-39","Male",3.6638053715704,26772,"BRFSS"
2022,"40-49","Female",3.46618639367387,30515,"BRFSS"
2022,"40-49","Male",3.55562013634784,27874,"BRFSS"
2022,"50-59","Female",3.36762951367058,37427,"BRFSS"
2022,"50-59","Male",3.37962901065336,32826,"BRFSS"
2022,"60-69","Female",3.2974614689545,49008,"BRFSS"
2022,"60-69","Male",3.27566940934281,41684,"BRFSS"
2022,"70-79","Female",3.19693243327826,41248,"BRFSS"
2022,"70-79","Male",3.21320335668151,33713,"BRFSS"
2022,"80-89","Female",3.09190725335352,21455,"BRFSS"
2022,"80-89","Male",3.1068591173979,14110,"BRFSS"
2023,"18-29","Female",3.54412498944292,21462,"BRFSS"
2023,"18-29","Male",3.65611051507442,26261,"BRFSS"
2023,"30-39","Female",3.48222153749992,26335,"BRFSS"
2023,"30-39","Male",3.57844599529494,25633,"BRFSS"
2023,"40-49","Female",3.41574701464659,29015,"BRFSS"
2023,"40-49","Male",3.48498371991778,26597,"BRFSS"
2023,"50-59","Female",3.31805100738388,34977,"BRFSS"
2023,"50-59","Male",3.33256704254625,30627,"BRFSS"
2023,"60-69","Female",3.24373526863037,47341,"BRFSS"
2023,"60-69","Male",3.25057746349199,40483,"BRFSS"
2023,"70-79","Female",3.17626386478997,42760,"BRFSS"
2023,"70-79","Male",3.16770741683807,34820,"BRFSS"
2023,"80-89","Female",3.11313208149314,22700,"BRFSS"
2023,"80-89","Male",3.08832768239035,15564,"BRFSS"
2024,"18-29","Female",3.52084259988549,23781,"BRFSS"
2024,"18-29","Male",3.62594912158826,29447,"BRFSS"
2024,"30-39","Female",3.46473311019429,27650,"BRFSS"
2024,"30-39","Male",3.56525641698421,27667,"BRFSS"
2024,"40-49","Female",3.38737690812509,31291,"BRFSS"
2024,"40-49","Male",3.45302350451163,28760,"BRFSS"
2024,"50-59","Female",3.26167539441725,35847,"BRFSS"
2024,"50-59","Male",3.29257571800921,31453,"BRFSS"
2024,"60-69","Female",3.22255564947349,49256,"BRFSS"
2024,"60-69","Male",3.22828985947036,43136,"BRFSS"
2024,"70-79","Female",3.20487608322082,45340,"BRFSS"
2024,"70-79","Male",3.16110683470322,37545,"BRFSS"
2024,"80-89","Female",3.07452488148142,25309,"BRFSS"
2024,"80-89","Male",3.08995331440709,17334,"BRFSS"
2025,"18-29","Female",3.45828820142624,1222,"BRFSS"
2025,"18-29","Male",3.57138408728157,1530,"BRFSS"
2025,"30-39","Female",3.46851638984558,1400,"BRFSS"
2025,"30-39","Male",3.5049855982229,1293,"BRFSS"
2025,"40-49","Female",3.33505079680125,1548,"BRFSS"
2025,"40-49","Male",3.40160334105387,1400,"BRFSS"
2025,"50-59","Female",3.29886172737754,1608,"BRFSS"
2025,"50-59","Male",3.31124270056391,1469,"BRFSS"
2025,"60-69","Female",3.219138429736,1940,"BRFSS"
2025,"60-69","Male",3.19419588250905,1756,"BRFSS"
2025,"70-79","Female",3.26355881681013,1482,"BRFSS"
2025,"70-79","Male",3.21410578479078,1351,"BRFSS"
2025,"80-89","Female",3.08935279305602,678,"BRFSS"
2025,"80-89","Male",3.01436961744504,507,"BRFSS"
